Kilometers_Driven,No_of_Owners,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage_kmpl,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Type_Manual,Body_Type_Hatchback,Body_Type_Hybrids,Body_Type_MUV,Body_Type_Minivans,Body_Type_SUV,Body_Type_Sedan,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,Manufactured_By_BMW,Manufactured_By_Chevrolet,Manufactured_By_Citroen,Manufactured_By_Datsun,Manufactured_By_Fiat,Manufactured_By_Ford,Manufactured_By_Honda,Manufactured_By_Hyundai,Manufactured_By_Isuzu,Manufactured_By_Jaguar,Manufactured_By_Jeep,Manufactured_By_Kia,Manufactured_By_Land Rover,Manufactured_By_Lexus,Manufactured_By_MG,Manufactured_By_Mahindra,Manufactured_By_Mahindra Renault,Manufactured_By_Mahindra Ssangyong,Manufactured_By_Maruti,Manufactured_By_Mercedes-Benz,Manufactured_By_Mini,Manufactured_By_Mitsubishi,Manufactured_By_Nissan,Manufactured_By_Renault,Manufactured_By_Skoda,Manufactured_By_Tata,Manufactured_By_Toyota,Manufactured_By_Volkswagen,Manufactured_By_Volvo
20000,1,2022,1150000,2022,5,998,9.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20687,1,2015,415000,2015,7,1196,15.37,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30000,1,2021,750000,2021,5,999,20.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59247,1,2015,398000,2015,5,1086,19.81,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,2015,550000,2015,5,1199,18.7,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,1,2016,3300000,2017,5,2143,13.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29403,1,2016,453000,2016,5,998,23.1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42700,1,2010,285000,2010,5,998,19.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23001,1,2018,5000000,2018,5,1995,16.55,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25925,2,2018,821000,2018,5,1497,14.8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
