Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location
Petrol,120000,Manual,3,Maruti,Maruti Celerio,2015,4.0,2015,5,998,23.1,Bangalore
Petrol,32706,Manual,2,Ford,Ford Ecosport,2018,8.11,2018,5,1497,17.0,Bangalore
Petrol,11949,Manual,1,Tata,Tata Tiago,2018,5.85,2018,5,1199,23.84,Bangalore
Petrol,17794,Manual,1,Hyundai,Hyundai Xcent,2014,4.62,2014,5,1197,19.1,Bangalore
Diesel,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,7.9,2015,5,1248,23.65,Bangalore
Diesel,20000,Manual,1,Jeep,Jeep Compass,2020,19.0,2020,5,1956,17.1,Bangalore
Petrol,37772,Manual,1,Datsun,Datsun GO,2017,3.45,2017,5,1198,20.63,Bangalore
Petrol,30000,Automatic,1,Hyundai,Hyundai Venue,2021,12.0,2021,5,998,18.15,Bangalore
Petrol,37000,Automatic,1,Maruti,Maruti Ciaz,2018,9.6,2018,5,1462,20.28,Bangalore
Petrol,11949,Manual,1,Tata,Tata Tiago,2017,5.85,2018,5,1199,23.84,Bangalore
Petrol,50000,Manual,1,Maruti,Maruti Baleno,2018,6.9,2018,5,1197,21.4,Bangalore
Petrol,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,6.82,2019,5,1197,18.9,Bangalore
Petrol,23000,Automatic,1,Honda,Honda Jazz,2018,8.25,2018,5,1199,18.2,Bangalore
Petrol,48928,Automatic,1,Tata,Tata Tiago,2018,5.95,2018,5,1199,23.84,Bangalore
Diesel,108862,Manual,3,Mahindra,Mahindra XUV500,2014,6.9,2014,7,2179,15.1,Bangalore
Diesel,80000,Manual,1,Jeep,Jeep Compass,2018,13.5,2018,5,1956,17.1,Bangalore
Diesel,16000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,2022,5,1950,19.0,Bangalore
Diesel,65376,Manual,2,Hyundai,Hyundai i20,2014,5.21,2014,5,1396,21.27,Bangalore
Petrol,10000,Manual,1,Tata,Tata Nexon,2022,10.05,2022,5,1199,17.33,Bangalore
Petrol,67000,Manual,2,Honda,Honda City,2016,7.75,2016,5,1497,17.8,Bangalore
Diesel,100000,Automatic,3,BMW,BMW 5 Series,2011,22.0,2011,5,1995,18.48,Bangalore
Petrol,18083,Manual,1,Maruti,Maruti Swift,2016,5.82,2016,5,1197,22.38,Bangalore
Petrol,30000,Manual,1,Renault,Renault Duster,2020,10.9,2020,5,1498,16.42,Bangalore
Petrol,57634,Manual,2,Tata,Tata Tiago,2016,4.57,2016,5,1199,23.84,Bangalore
Petrol,50000,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,2016,5,4663,7.81,Bangalore
Petrol,110000,Manual,1,Honda,Honda City,2015,5.5,2015,5,1497,17.4,Bangalore
Petrol,23447,Automatic,1,Hyundai,Hyundai Santro,2018,5.7,2018,5,1086,20.3,Bangalore
Lpg,30000,Manual,2,Hyundai,Hyundai Santro Xing,2009,2.2,2009,5,1086,13.45,Bangalore
Petrol,33000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,41.45,2017,5,1991,15.0,Bangalore
Diesel,87667,Manual,2,Mahindra,Mahindra XUV500,2014,8.61,2014,7,2179,15.1,Bangalore
Diesel,40000,Automatic,2,Audi,Audi A4,2016,17.85,2016,5,1968,17.11,Bangalore
Diesel,79012,Manual,2,Mahindra,Mahindra XUV500,2014,8.03,2014,7,2179,15.1,Bangalore
Diesel,31344,Manual,1,Jeep,Jeep Compass,2021,25.65,2021,5,1956,17.1,Bangalore
Petrol,50000,Manual,1,Hyundai,Hyundai Xcent,2018,6.74,2018,5,1197,20.14,Bangalore
Petrol,12434,Manual,1,Maruti,Maruti Wagon R,2015,3.49,2015,5,998,20.51,Bangalore
Petrol,60000,Manual,2,Maruti,Maruti Ertiga,2019,10.5,2019,7,1462,19.34,Bangalore
Diesel,12000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,44.25,2019,5,1950,12.6,Bangalore
Petrol,40987,Manual,2,Maruti,Maruti Wagon R,2015,4.06,2015,5,998,20.51,Bangalore
Petrol,18157,Automatic,1,BMW,BMW 5 Series,2020,49.65,2020,5,1998,15.56,Bangalore
Diesel,120000,Manual,3,Toyota,Toyota Fortuner,2011,11.0,2011,7,2982,11.5,Bangalore
Diesel,40000,Automatic,2,Renault,Renault Duster,2020,11.0,2020,5,1461,19.87,Bangalore
Petrol,89667,Manual,1,Hyundai,Hyundai i20,2016,5.94,2016,5,1197,18.6,Bangalore
Diesel,120000,Manual,1,Hyundai,Hyundai i20,2017,7.1,2017,5,1396,22.54,Bangalore
Petrol,56997,Manual,1,Maruti,Maruti Baleno,2017,6.92,2017,5,1197,21.4,Bangalore
Petrol,120000,Manual,1,Hyundai,Hyundai Elantra,2013,6.5,2013,5,1797,16.3,Bangalore
Diesel,59000,Automatic,1,Audi,Audi A6,2015,20.9,2016,5,1968,18.53,Bangalore
Petrol,18835,Manual,1,Maruti,Maruti Alto 800,2021,4.11,2021,5,796,22.05,Bangalore
Diesel,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,6.5,2010,7,2179,12.05,Bangalore
Petrol,40000,Automatic,1,Mini,Mini 3 DOOR,2016,36.75,2016,4,1998,17.33,Bangalore
Petrol,60932,Manual,1,Tata,Tata Tiago,2019,6.1,2019,5,1199,23.84,Bangalore
