Fuel_Type,Body_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage_kmpl,City,Car_Link
Petrol,SUV,20000,Automatic,1,Kia,Kia Sonet,2022,1150000,2022,5,998,9.0,Chennai,https://www.cardekho.com/used-car-details/used-Kia-Sonet-Turbo-Dct-Anniversary-Edition-cars-Chennai_9a50ab47-7b87-4649-951d-fadcf4f77ceb.htm
Petrol,Minivans,20687,Manual,1,Maruti,Maruti Eeco,2015,415000,2015,7,1196,15.37,Chennai,https://www.cardekho.com/buy-used-car-details/used-Maruti-Eeco-7-Seater-Standard-Bsiv-cars-Chennai_c4e26c01-7343-4a41-abd4-cf0dd2397abb.htm
Petrol,SUV,30000,Manual,1,Nissan,Nissan Magnite,2021,750000,2021,5,999,20.0,Chennai,https://www.cardekho.com/used-car-details/used-Nissan-Magnite-Turbo-Xv-Premium-Bsvi-cars-Chennai_a2ecb24b-f894-4140-9447-11fbab0a5757.htm
Petrol,Hatchback,59247,Manual,1,Hyundai,Hyundai i10,2015,398000,2015,5,1086,19.81,Chennai,https://www.cardekho.com/buy-used-car-details/used-Hyundai-I10-Sportz-1.1l-cars-Chennai_ef2047fb-1176-459a-93a8-18ba8b008604.htm
Petrol,Hatchback,50000,Manual,1,Honda,Honda Jazz,2015,550000,2015,5,1199,18.7,Chennai,https://www.cardekho.com/used-car-details/used-Honda-Jazz-1.2-Vx-I-Vtec-cars-Chennai_313aadd0-a70e-46bc-ad27-8e31a3520ca9.htm
Diesel,Sedan,20000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2016,3300000,2017,5,2143,13.0,Chennai,https://www.cardekho.com/used-car-details/used-Mercedes-benz-E-class-E250-Cdi-Avantgarde-cars-Chennai_2e4889d4-bc1f-4a8f-bf2e-a78f351f313f.htm
Petrol,Hatchback,29403,Automatic,1,Maruti,Maruti Celerio,2016,453000,2016,5,998,23.1,Chennai,https://www.cardekho.com/buy-used-car-details/used-Maruti-Celerio-Zxi-At-Optional-cars-Chennai_943ff58c-b2a9-4236-81f2-c64d0493cda6.htm
Petrol,Hatchback,42700,Manual,1,Maruti,Maruti A-Star,2010,285000,2010,5,998,19.0,Chennai,https://www.cardekho.com/used-car-details/used-Maruti-A-star-Zxi-cars-Chennai_f25a158c-8fd6-4037-bccd-4792e0cc26a5.htm
Diesel,SUV,23001,Automatic,1,BMW,BMW X3,2018,5000000,2018,5,1995,16.55,Chennai,https://www.cardekho.com/used-car-details/used-Bmw-X3-Xdrive-20d-Luxury-Line-cars-Chennai_a11882ed-2d12-4fdf-bfdf-1481d4a0835e.htm
Petrol,SUV,25925,Automatic,2,Ford,Ford Ecosport,2018,821000,2018,5,1497,14.8,Chennai,https://www.cardekho.com/buy-used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Plus-At-Bsiv-cars-Chennai_22bad10d-3d57-42f5-99e1-fde8bf4c24ba.htm
Petrol,Hatchback,20000,Manual,1,Hyundai,Hyundai i20,2021,865000,2021,5,1197,21.0,Chennai,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-Opt-Bsvi-cars-Chennai_058729c8-ec87-43c8-9f7c-9503f6c325e7.htm
Petrol,Hatchback,17711,Automatic,1,Honda,Honda Jazz,2019,792000,2019,5,1199,18.2,Chennai,https://www.cardekho.com/buy-used-car-details/used-Honda-Jazz-Vx-Cvt-cars-Chennai_8a651988-5cf7-4791-9a74-3e59a3d91e2b.htm
Diesel,Sedan,50000,Automatic,1,BMW,BMW 3 Series,2020,4050000,2020,5,1995,20.37,Chennai,https://www.cardekho.com/used-car-details/used-Bmw-3-Series-320d-Luxury-Line-cars-Chennai_6a428e94-4e49-43c9-899c-3a2f5828f283.htm
Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Swift,2018,610000,2018,5,1197,22.0,Chennai,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-2018-cars-Chennai_7227927d-273e-4372-bb12-067812034d87.htm
Petrol,Hatchback,51125,Manual,2,Hyundai,Hyundai Grand i10,2018,511000,2019,5,1197,18.9,Chennai,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Magna-Bsiv-cars-Chennai_1c84adc3-50af-4e42-b201-a810a18262a4.htm
Diesel,SUV,69233,Manual,1,Tata,Tata Nexon,2019,710000,2019,5,1497,21.5,Chennai,https://www.cardekho.com/used-car-details/used-Tata-Nexon-1.5-Revotorq-Xt-cars-Chennai_6f55ddc0-05d6-4abb-a7ce-f54b8ed0953f.htm
Diesel,SUV,65000,Manual,1,Jeep,Jeep Compass,2017,1225000,2017,5,1956,17.1,Chennai,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2.0-Sport-cars-Chennai_81850902-3d42-42a6-ade1-c37132f39c62.htm
Petrol,Sedan,93281,Manual,1,Honda,Honda City,2014,570000,2014,5,1497,17.4,Chennai,https://www.cardekho.com/used-car-details/used-Honda-City-I-Vtec-Vx-cars-Chennai_74c4e54a-51ca-4d31-a0e2-f391aef9b61a.htm
Diesel,SUV,18000,Manual,1,Toyota,Toyota Fortuner,2022,3900000,2022,7,2755,27.0,Chennai,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-4x2-Diesel-Bsvi-cars-Chennai_4d16469b-5d11-4765-a0f9-f55bc6c318f4.htm
Petrol,Sedan,99225,Manual,2,Honda,Honda Amaze,2014,375000,2014,5,1198,18.0,Chennai,https://www.cardekho.com/used-car-details/used-Honda-Amaze-E-I-vtech-cars-Chennai_3d33d9fd-8efa-4f24-9a90-b5a1f0ebf0c3.htm
Petrol,Hatchback,30000,Manual,1,Hyundai,Hyundai EON,2016,275000,2016,5,998,20.3,Chennai,https://www.cardekho.com/used-car-details/used-Hyundai-Eon-1.0-Era-Plus-cars-Chennai_5757d7c7-4509-40bd-9f16-09d3882539b1.htm
Petrol,Sedan,30602,Manual,1,Honda,Honda Amaze,2014,429000,2014,5,1198,18.0,Chennai,https://www.cardekho.com/buy-used-car-details/used-Honda-Amaze-S-I-vtech-cars-Chennai_2e95327f-ebfa-4a93-b48b-4d81616bc932.htm
Diesel,Hatchback,64500,Manual,1,Maruti,Maruti Swift,2018,675000,2018,5,1248,25.2,Chennai,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vdi-Bsiv-cars-Chennai_2d0f3885-98d8-4c86-a9ac-3009963e4fe4.htm
Petrol,Sedan,46809,Manual,2,Honda,Honda City,2017,793000,2017,5,1497,17.8,Chennai,https://www.cardekho.com/buy-used-car-details/used-Honda-City-I-Vtec-V-cars-Chennai_3827d665-7d54-4966-876f-ebbabcb75b88.htm
Electric,SUV,20000,Automatic,1,Tata,Tata Nexon EV,2020,1100000,2020,5,0,19.173617771509168,Chennai,https://www.cardekho.com/used-car-details/used-Tata-Nexon-Ev-Xz-Plus-Lux-cars-Chennai_d9f5f458-5139-4240-8ab3-e1e4ac89bffe.htm
